channel_name,Title,Video_id,Published_date,Month,Views,Likes,Comments,Duration
Ben Gravy,Hurricane Hype Center 2024 (Biggest & Best!),uK6ZiAJst10,2024-07-11 15:00:54+00:00,Jul,28746,687,82,0 days 00:16:08
Ben Gravy,Dream Sandbar at El Slammo,ngodz0ZFb1Q,2024-07-09 15:00:49+00:00,Jul,24115,718,69,0 days 00:18:56
Ben Gravy,"Historic July 4th Ground Swell in Jax Beach, Florida",BAmzxFkp7W4,2024-07-07 15:00:08+00:00,Jul,155155,1702,192,0 days 00:15:18
Ben Gravy,First Time Riding 11ft Custom Glider Surfboard,yg0awdlJFXw,2024-07-02 14:00:52+00:00,Jul,29679,927,144,0 days 00:20:15
Ben Gravy,10ft Shark Shows Up at El Slammo Mid Session,z4zpeMWi41U,2024-06-30 14:00:52+00:00,Jun,50655,840,97,0 days 00:12:56
Ben Gravy,Dug This Old Surfboard Out of a Shed & Brought it Back to Life,iSif7ZnSyVc,2024-06-27 14:00:36+00:00,Jun,21213,714,98,0 days 00:18:35
Ben Gravy,Tropical Invest 92L Hits New Jersey w/ Clean Surf,EkNg1p7cKmk,2024-06-25 14:00:09+00:00,Jun,31707,867,94,0 days 00:20:21
Ben Gravy,Invest 92L Sends Front Runner Swell to Weird Places,b7F2wIVSJMQ,2024-06-23 18:00:30+00:00,Jun,15997,573,98,0 days 00:17:01
Ben Gravy,I'm Back in the Water FOR THE DREAM!!!,ZIvUwPRL85s,2024-06-20 15:06:35+00:00,Jun,22951,1217,225,0 days 00:23:38
Ben Gravy,The Return of EL SLAMMO,vK5ZJdgcu_w,2024-06-18 15:45:03+00:00,Jun,30905,1114,163,0 days 00:22:45
Ben Gravy,You out there For the Dream? Must be Summer…,q1B6h6bzdzQ,2024-06-13 16:52:02+00:00,Jun,10068,266,18,0 days 00:00:17
Ben Gravy,Hurricane Season Came Early this Year?,n6TiPhcPzqs,2024-06-13 14:00:43+00:00,Jun,23750,546,88,0 days 00:21:21
Ben Gravy,Dreamy Offshore Peelers at Secret Location,UFDqNt5_m0o,2024-06-09 14:00:30+00:00,Jun,23710,667,125,0 days 00:18:31
